PERSONAJE,GLOSA
MARQUES DE CASTEL RODRIGO,"Cristóvão de Moura e Távora o Cristóbal de Moura (Lisboa, 1538-Madrid, 1613), fue un noble portugués, líder del partido español durante la crisis sucesoria en Portugal (1580). Hábil diplomático de Felipe II de España, alimentó rivalidades políticas para la causa del soberano español en Portugal. Felipe III, a su vez, lo elevó a primer marqués de Castel Rodrigo (1600) y lo nombró virrey de Portugal, función que ejerció por tres períodos."
Felipe III,"Felipe III de España, llamado ""el Piadoso"" (1578-1621), fue rey de España y de Portugal​ desde el 13 de septiembre de 1598 hasta su muerte. Bajo su reinado España alcanzó su máxima expansión territorial en el norte de África y en Italia.Aficionado al teatro, a la pintura y, sobre todo, a la caza, delegó los asuntos de gobierno en manos de su valido, el duque de Lerma, el cual, a su vez, lo delegó en su valido personal Rodrigo Calderón. El Duque de Lerma fue en 1618 sustituido por el de Uceda."
MARTIN DEL BARCO CENTENERA,"Hombre de la Iglesia y poeta, Martín del Barco Centenera nació en Logrosán (Cáceres) en 1535. Fue nombrado como Arcediano de la Catedral de Asunción en el Paraguay y se embarcó para América como capellán en la armada del Adelantado del Río de la Plata Juan Ortiz de Zárate. Llegó a la cuenca del Río de Plata a finales de 1573. Aprendió el guaraní y, empezando por la isla de Martín García, intervino en varias expediciones de exploración y en la conversión de numerosos indígenas. Luego del concilio limense de 1582 fue nombrado comisario del Santo Oficio en Cochabamba además de ocupar el cargo de vicario en Chuquisaca Regresó a Asunción, donde ejerció el gobierno de la Iglesia por breve tiempo. Designado procurador de Buenos Aires ante la Corte de 1594, se estableció en Lisboa como capellán del virrey don Cristóbal de Moura, marqués de Ciudad Rodrigo. Allí publicó su poema La Argentina (1602) y murió poco después."
Chiriguanas,"Los Chiriguanos, son grupo de lengua Tupí - Guaraní que desde el Amazonas ocuparon sectores de Paraguay, Bolivia y Argentina. Eran agricultores sedentarios, a base de mandioca, zapallos, batata y maíz. La técnica de cultivo era la típica ""milpa"" amazónica: talado de árboles, corte de la maleza, incendio y posterior cultivo sobre el terreno quemado. Entre los siglos XV y XVI sometieron a los Chané a los que esclavizaron. Algunas crónicas indican que ese dominio se sustentó en una sistemática antropofagia. Ruy Díaz dirigió varias campañas en su contra.|"
Guaranís,"Refiere aLos guaraníes o avá, según su autodenominación étnica original (que significa ""ser humano""). Grupo de pueblos indígenas que se ubican geográficamente en Paraguay, noreste de Argentina,​ sur y suroeste de Brasil y sureste de Bolivia y norte de Uruguay. El muy difundido nombre guaraní lo escucharon los españoles que, al invadir su territorio, habrían oído, entre los gritos de guerra de este pueblo, la frase guará-ny, que significa ""combatir-los"".Otra versión afirma que la denominación fue tomada de la deformación de una palabra guaraní que significa precisamente ""guerra"" o ""guerrear""."
Chiriguana,"Los Chiriguanos, son grupo de lengua Tupí- Guaraní que desde el Amazonas ocuparon sectores de Paraguay, Bolivia y Argentina. Fue el punto culminante de su expansión hacia el sur, en la búsqueda mesiánica de la ""Tierra sin mal"" o de nuevas tierras para cultivo. Eran agricultores sedentarios, Entre los siglos XV y XVI sometieron a los Chané a los que esclavizaron. Algunas crónicas indican que ese dominio se sustentó en una sistemática antropofagia que prácticamente devastó a los Chané.|"
Apolo,"En la mitología griega, Apolo era hijo de Zeus y Leto, y hermano gemelo de la diosa Artemisa. Era el dios del Sol, la lógica y la razón, y se lo asociaba también a la música y a la medicina."
Marques Mora,"Se trata del ya mencionado Cristóvão de Moura e Távora o  Cristóbal de Moura (Lisboa, 1538-Madrid, 1613)."
El Drake,"Francis Drake (Inglaterra, 1540 - Panamá, 28 de enero de 1596) fue un corsario, explorador, comerciante de esclavos y vicealmirante inglés. Dirigió expediciones de la Marina Real inglesa en España y en las Indias, fue la segunda persona en circunnavegar el mundo en una sola expedición, tras Elcano, y participó en el ataque a Cádiz de 1587, la derrota de la Armada Invencible y el fallido ataque a La Coruña de 1589."
Noé,Refiere al Noé bíblico que protagoniza el relato del diluvio y el Arca de la Alianza del Génesis.
